val,City name,City name (CDP),City name (carbonn),City name (PKU),City name (GEA),City name (UITP),City name (WB),Definition (CDP),Definition (carbonn),Definition (WB),Study year (WB),Reporting year (CDP),Scope-1 GHG emissions [tCO2 or tCO2-eq],Scope-1 source dataset,Scope-1 GHG emissions units,Year of emission,Emissions protocol,Gases included (CDP),Methodology details (CDP),Increase/Decrease from last year (CDP),Reason for increase/decrease in emissions (CDP),Scope-2 (CDP) [tCO2-eq],Total emissions (CDP) [tCO2-eq],CDP2016 data edited (CDP),Emissions Quality Flag (CDP),S1 lower bound [tCO2] (CDP),S1 upper bound [tCO2] (CDP),S1 mean (CDP) [tCO2],TOT lower bound [tCO2] (CDP),TOT upper bound [tCO2] (CDP),TOT mean (CDP) [tCO2],Scope fraction (CDP),CO2 emissions per capita (PKU) [tCO2/capita],City location (CDP) [degrees],Latitude (others) [degrees],Longitude (others) [degrees],Coordinate source (others),Country,Region,Population (CDP),Population year (CDP),Population (carbonn),Population year (carbonn),Urban population (PKU),Population (GEA),Population (UITP),Population (WB),Population year (WB),Population (others),Population year (others),Population source (others),Population 1950 (WB),Population 1990 (WB),Population 2010 (WB),Population growth rate 1950-2010 (WB) [people/60years],Population growth rate 1990-2010 (WB) [people/20years],Ancillary from GEA+,City area (CDP) [km2],City area (GEA) [km2],City area (WB) [km2],Built-up area (PKU) [km2],City area (others) [km2],City area source year (others),City area source (others),Population density (GEA) [people/km2],Population density (UITP) [people/km2],Population density (WB) [people/km2],Population/sqrt(area) (GEA) [people/km],Population/sqrt(area) (WB) [people/km],Average altitude [m],Average annual temperature (CDP) [degrees Celsius],Weather station ID (GEA+),CDD 23C (GEA+) [degrees C × days],HDD 15.5C (GEA+) [degrees C × days],HDD 15.5C (clim) [degrees C × days],CDD 23C (clim) [degrees C × days],GDP (CDP) [multiple units],GDP unit (CDP),GDP year (CDP),GDP source (CDP),GDP (carbonn) [multiple units],nGDP (carbonn) [multiple units],GDP unit (carbonn),GDP year (carbonn),GDP (PKU) [10000 RMB],Income per capita (PKU) [RMB/capita],GDP-PPP (others) [$BN],GDP-PPP/capita (others) [USD/capita],GDP-PPP source (others),GDP-PPP year (others),nGDP (others) [$BN],nGDP/capita (others) [USD/capita],nGDP source (others),nGDP year (others),GDP-PPP/capita (GEA) [USD/year],GDP-PPP/capita (UITP) [USD/year],GDP-PPP/capita (WB) [USD/year],Total final consumption per capita (GEA) [GJ/capita/yr],Energy per capita CO2 (WB) [tCO2-eq/capita/yr],Diesel price (GEA+) [USD/liter],Gasoline price (GEA+) [USD/liter],Center of commerce index (GEA+) [dimensionless],Household size (GEA+) [people/household],Household size year (GEA+),Household source (GEA+),Household size comment (GEA+),Urbanization ratio (GEA+) [percent],Water bounded (GEA+),Other bounded (GEA+),Mean one-way travel time (others) [minutes],Mean one-way travel time year (others),Mean one-way travel time source (others),Diesel price 2014 (others) [USD/liter],Gasoline price 2014 (others) [USD/liter],Household size (others) [people/household],Household size year (others),Household size source (others),Household size comment (others),Congestion rank (INRIX) [dimensionless],Peak hours spent in congestion (INRIX) [hours],INRIX congestion index (INRIX) [dimensionless],Average congestion rate (INRIX) [percent],Congestion rank (TomTom) [dimensionless],Congestion level (TomTom) [× 100 percent],Congestion change (TomTom) [× 100 percent],Morning peak (TomTom) [percent],Evening peak (TomTom) [percent],Economy (IESE) [dimensionless],Environment (IESE) [dimensionless],Governance (IESE) [dimensionless],Human capital (IESE) [dimensionless],International impact (IESE) [dimensionless],Mobility and transportation (IESE) [dimensionless],Public management (IESE) [dimensionless],Social cohesion (IESE) [dimensionless],Technology (IESE) [dimensionless],Urban planning (IESE) [dimensionless],CIMI (IESE) [dimensionless],CIMI ranking (IESE) [dimensionless],CIMI performance (IESE) [dimensionless],Urban area name (UEX),Low BUA - 1990 (UEX) [km2],Low BUA - 2000 (UEX) [km2],Low BUA - 2014 (UEX) [km2],High BUA - 1990 (UEX) [km2],High BUA - 2000 (UEX) [km2],High BUA - 2014 (UEX) [km2],Low BUA % - 1990 (UEX) [percent],Low BUA % - 2000 (UEX) [percent],Low BUA % - 2014 (UEX) [percent],High BUA % - 1990 (UEX) [percent],High BUA % - 2000 (UEX) [percent],High BUA % - 2014 (UEX) [percent],Low BUA population density - 1990 (UEX) [people/km2],High BUA population density - 1990 (UEX) [people/km2],Low BUA population density - 2000 (UEX) [people/km2],High BUA population density - 2000 (UEX) [people/km2],Low BUA population density - 2014 (UEX) [people/km2],High BUA population density - 2014 (UEX) [people/km2],Exports (others) [m3],Production (others) [m3],Natgas Export/Production ratio (others),CH4_waste/capita (others) [tCH4/capita],CH4_waste+natgas/capita (others) [tCH4/capita],Corrected CH4_(waste+natgas)/capita (others) [tCH4/capita],Year from CIA (others),AQF (CDP/GEA),AQF (CDP/WB),AQF (CDP/OTHERS),AQF (PKU/GEA),AQF (PKU/WB),AQF (PKU/OTHERS),PQF (CDP),PQF (carbonn),PQF (WB),PQF (WB2010),PQF (OTHERS),HQF (GEA+),HQF (OTHERS)
252,San Francisco,City of San Francisco,,,,San Francisco,,Other: Geopolitical Boundary - physical areas over which local government has jurisdictional control,,,,2016,4186111,CDP,tCO2-eq,2012,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",CO2; CH4; N2O,"Used ICLEI U.S. Community Protocol to verify calendar year 2012 emissions.  During November 2015, the city reshaped and scoped calendar year 2012 emissions according to the new GPC BASIC framework to Compact of Mayors requirements.  The GPC expanded the scope of the verified 2012 inventory to report sources such as from natural gas leakage from the distribution system, district electricity, transmission and distribution electric losses, wastewater, agriculture/farming, ships and boats (non-ferry), off-road equipment and stationary sources.  This resulted in a higher emission number than originally verified by a third party.",Other,"Methology Change: There was an increase in the emission number from inventory years 2010 to 2012.  The shift to the BASIC GPC framework during 2015 included categories that were otherwise excluded or not calculated during previous CDP reporting years.  Rather than rectify previous years, especially under the new GPC BASIC categories in which historic data is largely unavailable, CDP/COM reports will include these categories moving forward. However, to capture emission trends since 1990, the City will continue trending according to previously utilized ICLEI U.S. Community Protocol scopes in which case sectors such as Residential, Commercial/Industrial, Transportation (private, commercial, public/mass transit), Waste as well as Municipal emissions continues to decrease due to the City of San Francisco's progressive climate policies and commitment to implementing effective emission reduction strategies.",1131352,5381687,,A,3322495.82676567,3757532.84837972,3540014.3375727,4518071.82676567,4953108.84837972,4735590.33757269,0.988066195600004,,"(37.7749295, -122.4194155)",37.783,-122.416667,https://en.wikipedia.org/wiki/San_Francisco,USA,North America,864816,2015,,,,,3837896,,,870887,2016,https://www.census.gov/quickfacts/fact/table/sanfranciscocitycalifornia/PST045216,,,,,,1,121,,,,121.3928313,2010,https://www.census.gov/quickfacts/fact/table/sanfranciscocitycalifornia/PST045216,,2054,,,,142,10.4,KCASANFR34,,,186,135,89205219000,USD     US Dollar,2015,Moody's Analytics and Bureau of Economic Analysis,,,,,,,331.024,72390,[1],2014,283.3,65156.3937442502,"[3], [19]",,,37154.47,,,,0.78,0.56,52.39,2.61,2010,http://factfinder2.census.gov/faces/tableservices/jsf/pages/productview.xhtml?pid=DEC_10_DP_DPDP1&prodType=table,metro area,80.731,,,29.15,2013,"TORONTO AS A GLOBAL CITY:Scorecard on Prosperity – 2015, pg. 25, report by Toronto Board of Trade (downloaded fie: Toronto_scorecard_2015.pdf)",0.97,0.86,2.32,2011-2015,https://www.census.gov/quickfacts/fact/table/sanfranciscocitycalifornia/PST045216,,4,83,14.4,12.8%,30,0.39,0.03,55%,73%,2,58,20,9,45,23,12,100,16,24,88.46,5,RA,San Francisco Bay Urban Area,442.375,454.0625,462.5625,1790,1832.9375,1872.375,0.198163391007335,0.198540664626148,0.198104874327471,0.801836608992665,0.801459335373852,0.801895125672529,1058.38030456902,1398.1675179976,168.476996200776,2539.08051190217,136.392746619079,2640.49137845377,42870000000,766200000000,0.06,0.0176989817,0.0367294791,0.0356646952,,,,1,,,,1,,,,1,1,1
253,San Jerónimo de Montería,,City of San Jerónimo de Montería,,,,,,Municipality,,,,1166,carbonn,tCO2-eq,2014,Community,,,,,,,,,,,,,,,,,,8,-75,carbonn,Colombia,Latin America & Caribbean,,,441301,2015,,,,,,460223,2018,Wikipedia,,,,,,,,,,,3141,2018,Wikipedia,,,,,,,,,,,0,1344,,,,,3989,4682.7902617345,USD,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.04,1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,San Jerónimo de Montería Urban Area,8.9375,10.3125,12.6875,17.75,21.0625,26.4375,0.334894613583138,0.328685258964143,0.324281150159744,0.665105386416862,0.671314741035857,0.675718849840256,1070.46449272579,6556.42882776182,1604.51227184642,14363.1102486902,1620.91089572343,14005.3105018562,,,,,,,,,,,,,,,1,,,1,,
254,San Luis Potosí,Ayuntamiento de San Luis Potosí,,,,,,A metropolitan area,,,,2016,1096122.89,CDP,tCO2-eq,2015,2006 IPCC Guidelines for National Greenhouse Gas Inventories,CO2; CH4; N2O,"the IPCC methodology was followed , implementing all the criteria therein following the classification.",Increased,"Because in recent years the city has seen a high degree of interest of foreign companies for the installation of new industrial plants, thus the demand for jobs and resources increases, having a greater number of companies, workers they need transportation that is often itself.",224507.1,1320629.99,,A,695516.859181823,914221.186766977,804869.0229744,920023.959181824,1138728.28676698,1029376.1229744,1,,"(22.173333, -100.97005)",22.151,-100.976111,https://en.wikipedia.org/wiki/San_Luis_Potosí_City,Mexico,Latin America & Caribbean,824229,2015,,,,,,,,824229,2015,"(estimate) Thomas Brinkhoff: City Population, http://www.citypopulation.de/php/mexico-admin.php?adm2id=24028 estimate",,,,,,,1482,,,,1471.71,2015,"Thomas Brinkhoff: City Population, http://www.citypopulation.de/php/mexico-admin.php?adm2id=24028",,,,,,1998,21,,,,31,2387,183992,MXN     Mexican Peso,2015,INEGI,,,,,,,,,,2008,16.63222,13178.6494756976,[24],2013,,,,,,,,,,,,,,,,,,,1.02,1.03,3.8,2016,"INEGI, http://www.beta.inegi.org.mx/app/areasgeograficas/?ag=24#",,467,16,3.5,6.9%,,,,,,,,,,,,,,,,,,,Ayuntamiento de San Luis Potosí Urban Area,64.5625,69.8125,70.5625,98.8125,117.4375,146.5625,0.395179801071155,0.37283044058745,0.324985607369027,0.604820198928845,0.62716955941255,0.675014392630973,1333.52508470476,10218.4421256284,1347.82234346277,7189.11616880667,789.269791315872,7528.63144003237,2973000000,7800000000,0.38,0.0078818986,0.0231951974,0.0173584747,,,,1,,,,1,,,,1,,1
255,Santa Monica,City of Santa Monica,,,,,,Administrative boundary of a local government,,,,2017,119026,CDP,tCO2-eq,2015,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",CO2; CH4; N2O,,Decreased,"State renewable portfolio standard, low carbon fuel standard, electric vehicles, 15 x 15 Action Plan",215565,334591,Replaced by CDP2017 data. Reason:  TOT >> s1+s2 (Case 2b) in CDP2016. Soln: Replace with CDP2017 data (no edits required).,B,27153.7451648,73433.4231408,50293.5841528,242718.7451648,288998.4231408,265858.5841528,1,,"(34.0219, -118.4814)",34.022,-118.481389,"https://en.wikipedia.org/wiki/Santa_Monica,_California",USA,North America,92000,2014,,,,,,,,92478,2016,https://www.census.gov/quickfacts/fact/table/santamonicacitycalifornia/PST045216,,,,,,,20,,,,21.8077158,2010,https://www.census.gov/quickfacts/fact/table/santamonicacitycalifornia/PST045216,,,,,,320,20,,,,1154,528,,,,,,,,,,,,,,2008,,,[20],,,,,,,,,,,,,,,,,26.1,(2011-2015),,0.97,0.86,1.94,2011-2015,https://www.census.gov/quickfacts/fact/table/santamonicacitycalifornia/PST045216,,,,,,,,,,,,,,,,,,,,,,,,see: Los Angeles Urban Area,,,,,,,,,,,,,,,,,,,42870000000,766200000000,0.06,0.0176989817,0.0367294791,0.0356646952,,,,1,,,,1,,,,1,,1
256,Santa Rosa,,"City of Santa Rosa, Laguna",,,,,,Municipality,,,,1358351,carbonn,tCO2-eq,2010,Community - GPC,,,,,,,,,,,,,,,,,,14.2843,121.088893,carbonn,Philippines,Southeast Asia,,,284670,2014,,,,,,353767,2015,Wikipedia,,,,,,,,,,,54.84,2015,Wikipedia,,,,,,,,,,,0,1037,,,,,,825996341.61091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.82,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,see: Manila Urban Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,0,,
257,Santarém,Santarém,,,,,,Administrative boundary of a local government,,,,2016,245483,CDP,tCO2,2006,2006 IPCC Guidelines for National Greenhouse Gas Inventories,CO2,,,,86235,331717,,A,,,,,,,1.00000301461788,,"(39.236669, -8.685994)",39.233,-8.683333,"https://en.wikipedia.org/wiki/Santarém,_Portugal",Portugal,Europe,61752,2011,,,,,,,,61752,2011,"https://en.wikipedia.org/wiki/Santar%C3%A9m,_Portugal",,,,,,,553,,,,552.54,2011,"https://en.wikipedia.org/wiki/Santar%C3%A9m,_Portugal",,,,,,108,16,,,,464,73,,,,,,,,,,,,,,2008,,,,,,,,,,,,,,,,,,,,20.1123612183103,2011,"Statistics Portugal, Population and housing census – 2001; https://www.ine.pt/xportal/xmain?xpid=INE&xpgid=ine_indicadores&indOcorrCod=0000685&selTab=tab0&xlang=en",1.64,1.89,,,,,,,,,,,,,,,,,,,,,,,,,,,Santarém Urban Area,16.875,23.875,28.0625,6.625,12.5,16.5625,0.718085106382979,0.656357388316151,0.628851540616246,0.281914893617021,0.343642611683849,0.371148459383754,388.567661221512,883.398882772408,220.541067090421,2207.91927910328,184.160544940558,1625.94461562948,0,1,0,0.0311275785,0.0361368851,0.0361368851,,,,1,,,,0,,,,0,,
258,Santiago,Región Metropolitana de Santiago,,,,,,A metropolitan area,,,,2016,23120027.8,CDP,tCO2-eq,2013,2006 IPCC Guidelines for National Greenhouse Gas Inventories,CO2; CH4; N2O,"GPC was used for organizing information, while for the estimation of emissions (equations and emission factors) the IPCC guidelines was used.",This is our first year of calculation,This is the firs GHG inventory for the Metropolitan Region of Santiago.,8306669,31426696.8,CDP2016 TOT recalculated by summing both CDP2016 scopes.,A,18362773.3358874,19932444.6538244,19147608.9948559,26669442.3358874,28239113.6538244,27454277.9948559,1,,"(-33.44889, -70.669265)",-33.45,-70.666667,https://en.wikipedia.org/wiki/Santiago,Chile,Latin America & Caribbean,7314176,2015,,,,,,,,7310000,2016,http://www.c40.org/cities/santiago,,,,,,,15403,,,,641,2016,http://www.c40.org/cities/santiago,,,,,,520,14,,,,227,0,125301713234,USD     US Dollar,2013,Central Bank of Chile,,,,,,,171.436,23929,[1],2014,93,15166.3405088063,"[3], [19]",,,,,,,,,,,,,,,,,37.09,2014-2017,"https://www.numbeo.com/traffic/in/Santiago, [BASED ON 36 CONTRIBUTORS]",1.09,1.52,3.5,2010,https://knoema.com/atlas/Chile/Metropolitana-de-Santiago/Average-Household-Size,,,,,,,,,,,40,39,110,71,71,91,125,79,129,96,62.74,85,RA,Región Metropolitana de Santiago Urban Area,261.6875,282.4375,340.8125,501.5625,540.75,585.8125,0.342859482476253,0.343102270138942,0.367799811142587,0.657140517523747,0.656897729861058,0.632200188857413,277.15971291049,2106.72711546177,855.412829089444,9997.20658162717,1102.9692253731,10818.3636290976,0,1,0,0.0155646043,0.02322913,0.02322913,,,,0,,,,1,,,,1,,1
259,Santiago de Cali,Santiago de Cali,,,,,,Combination of administrative divisions,,,,2016,,CDP,tCO2-eq,2010,2006 IPCC Guidelines for National Greenhouse Gas Inventories,CO2; CH4; N2O,,,,,4174608,,D,,,,3158858.93051627,3725713.73007097,3442286.33029362,,,"(3.451647, -76.531985)",3.421,-76.522222,https://en.wikipedia.org/wiki/Cali,Colombia,Latin America & Caribbean,2369829,2015,,,,,,,,2400653,2012,https://en.wikipedia.org/wiki/Cali#cite_note-1,,,,,,,566,,,,619,,https://en.wikipedia.org/wiki/Cali,,,,,,995,24.7,,,,0,1333,4540,,2012,DAPM,,,,,,,,,,2008,,,,,,,,,,,,,,,,,,,,,,,1.04,1.08,,,,,60,44,8.6,17.1%,,,,,,,,,,,,,,,,,,,Santiago de Cali Urban Area,56,57.8125,62.625,119.6875,122.3125,126.5,0.31874777659196,0.320957668285913,0.331130204890945,0.68125222340804,0.679042331714087,0.668869795109055,845.544915957531,12504.3606506666,1581.02274695136,17057.8406449105,1663.54120187232,18606.5534246392,0,1,0,0.006765019,0.0153077511,0.0153077511,,,,1,,,,0,,,,1,,
260,Santiago de Guayaquil,Santiago de Guayaquil,,,,,,Administrative boundary of a local government,,,,2016,5429899,CDP,tCO2-eq,2014,Other,CO2; CH4; N2O,"ISO 14064: Data generating activity Greenhouse Gas (GHG) multiplied by the emission factor (EF) or removal of GHG. Eg = Da x Efa, where, Eg = corresponds to the emission of GHG. Da = corresponds to the data of GHG generating activity. EFa = corresponds to emission factor generating activity.",This is our first year of calculation,,1357475,6787374,,A,4438265.58382082,5073497.10756292,4755881.34569187,5795740.58382082,6430972.10756292,6113356.34569187,1,,"(-2.170998, -79.922359)",-2.183,-79.883333,https://en.wikipedia.org/wiki/Guayaquil,Ecuador,Latin America & Caribbean,2350915,2010,,,,,,,,3500000,2014,https://en.wikipedia.org/wiki/Guayaquil,,,,,,,5047,,,,344.5,2014,https://en.wikipedia.org/wiki/Guayaquil,,,,,,,26,,,,0,883,5862,,2014,"Banco Central del Ecuador, INEC (2010), Municipio de Guayaquil",,,,,,,,,,2008,,,,,,,,,,,,,,,,,,,,,,,0.29,0.6,,,,,133,33,6.3,12.2%,,,,,,,,,,,,,,,,,,,Santiago de Guayaquil Urban Area,76.4375,75.5,87.5,163.0625,181.5,199.5625,0.319154488517745,0.293774319066148,0.304811669932506,0.680845511482255,0.706225680933852,0.695188330067494,473.786554297699,3839.46771748076,969.597731175111,11993.277241184,1101.79889001564,13733.1124370227,0,240000000,0,0.005414334,0.0150645511,0.0150645511,,,,0,,,,1,,,,1,,
261,Sao Paulo,,Municipality of São Paulo,,Sao Paulo,Sao Paulo,Sao Paulo ,,Municipality,City ,2000,,15880130.359,carbonn,tCO2-eq,2011,Community,,,,,,,,,,,,,,,,,,-23.5505,-46.633309,carbonn,Brazil,Latin America & Caribbean,,,11253503,2010,,10434252,16562227,10434252,2000,12106920,2017,Wikipedia,2334000,14776000,19649000,1.03614529679612,1.01435314135725,1,,1522.986,1522.986,,1521.11,2017,Wikipedia,6851.1805098668,7766,6851.1805098668,267370.424575043,267370.424575043,,,SBSP,256,120,0,4,,,,,255288000000,296267786865.972,USD,1971,,,430.51,20650,[1],2014,437,22200.7722007722,"[3], [19]",2010,12273.0461487808,5319.33,12273.0461487808,22.972598373889,0.9,1.03,1.26,42.7,3.14,2010,http://www.ibge.gov.br/cidadesat/topwindow.htm?1,Calculation: population/households,82.834,0,Near coast and not on,,,,1.02,1.27,,,,,6,77,15.8,20.8%,71,0.3,0.01,42%,53%,,,,,,,,,,,,,,Sao Paulo Urban Area,781.8125,840.9375,901.125,2086.6875,2146.0625,2214.6875,0.27255098483528,0.281532474054235,0.289210278217961,0.72744901516472,0.718467525945765,0.710789721782039,1341.5213372727,9884.85787205417,428.039632853319,8451.18136386517,456.961775834498,9351.4686561422,,,,,,,,,,,,,,,1,0,1,0,1,
262,Sapporo,,Sapporo City,,,Sapporo,,,Municipality,,,,13024847.61,carbonn,tCO2-eq,2014,Community,,,,,,,,,,,,,,,,,,43.062,141.3544,carbonn,Japan,East Asia,,,1952356,2015,,,1757025,,,1880863,2016,Wikipedia,,,,,,1,,,,,1121.26,2016,Wikipedia,,7212,,,,70.2,,47412,,,3241,4,,,,,,103173988731.686,,,,,80.464,32446,[1],2014,67.19166,30484.2147480249,[24],2012,,37074.79,,,,1.3,1.42,,,,,,85.978,,,28,,,1.1,1.38,2.12,2018,http://www.city.yokohama.lg.jp/ex/stat/jinko/city/new-e.html,,,,,,,,,,,,,,,,,,,,,,,,Sapporo Urban Area,161,164.6875,174.5625,347.5,360,363.8125,0.31661750245821,0.313877307921382,0.324239609937311,0.68338249754179,0.686122692078618,0.675760390062689,562.01993141523,5674.43461412928,454.834504887232,6089.34742821587,433.774002990167,5629.00722661073,,,,,,,,,,,,,,,1,,,1,,1
263,Savannah,City of Savannah,,,,,,Administrative boundary of a local government,,,,2017,2381327,CDP,tCO2-eq,2014,International Emissions Analysis Protocol (ICLEI),CO2; CH4; N2O,"Inventory contains information on in-boundary transportation (transit, passenger, freight), electricity generation (residential, commercial and industrial) and stationary fuel combustion (residential, commercial and industrial).  All water and waste related emissions are already included in the municipal inventory.",This is our first year of calculation,,1228219,3609546,Replaced by CDP2017 data. Reason:  TOT >> s1+s2 (Case 2b) in CDP2016. Soln: Replace with CDP2017 data (no edits required).,A,2235855.27336019,2309135.11911536,2272495.19623777,3464074.27336019,3537354.11911536,3500714.19623777,1,,"(32.0835, -81.0998)",32.017,-81.116667,"https://en.wikipedia.org/wiki/Savannah,_Georgia",USA,North America,145674,2015,,,,,,,,146763,2016,https://www.census.gov/quickfacts/fact/table/savannahcitygeorgia/PST045216,,,,,,,175,,,,267.1574685,2010,https://www.census.gov/quickfacts/fact/table/savannahcitygeorgia/PST045216,,,,,,15,19,,,,678,993,15905000000,USD     US Dollar,2014,Bureau of Economic Analysis:  http://www.bea.gov/iTable/iTable.cfm?reqid=70&step=1&isuri=1&acrdn=3#reqid=70&step=10&isuri=1&7003=200&7035=-1&7004=naics&7005=-1&7006=42340&7036=-1&7001=2200&7002=2&7090=70&7007=2014&7093=levels,,,,,,,,,,2008,15.905,,[20],,,,,,,,,,,,,,,,,19.7,(2011-2015),,0.97,0.86,2.51,2011-2015,https://www.census.gov/quickfacts/fact/table/savannahcitygeorgia/PST045216,,,,,,,,,,,,,,,,,,,,,,,,City of Savannah Urban Area,59.125,59.25,60.875,86.1875,90.6875,93.1875,0.406881720430108,0.395164651938308,0.395131845841785,0.593118279569892,0.604835348061692,0.604868154158215,436.852976923901,1085.34779431793,500.796965449069,971.741064766783,614.209949796151,1128.80683837578,42870000000,766200000000,0.06,0.0176989817,0.0367294791,0.0356646952,,,,1,,,,1,,,,1,,1
264,Seattle,City of Seattle,,,Seattle,,Seattle ,Administrative boundary of a local government,,City ,2005,2016,5150000,CDP,tCO2-eq,2012,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),CO2; CH4; SF6,Please see detailed source notes throughout the inventory document.,Decreased,"The total amount of GHGs emitted from the core emissions sources has declined 6% between 2008 and 2014, from 3.7 to 3.5 million metric tons of CO2-equivalent (CO2e).  However, Seattle’s population grew by 13% in the same period resulting in a per person decline in emissions of 17%. Road transportation has been the largest category of emissions since 1990. Total emissions in this sector increased between 1990 and 2008, however, they have been decreasing since 2008. Advances in vehicle technology, plus a trend towards fewer vehicle miles travelled per person, have led both to decreased absolute emissions from road transportation (down 2% since 2008) and decreased emissions per person (down 13% during this period). Between 2008 and 2014, building-related emissions declined as a result of lower overall building energy use, particularly for residential buildings, due to energy efficiency, more multi-family living, and especially by warmer weather that reduced winter heating needs. This decline, though modest, is more impressive considering Seattle’s population and economy have grown considerably since 1990.  On a per resident basis, Seattle’s emissions declined  22% per since 1990 and 6% since 2008. A number of factors led to emissions decreases that counteracted the effect of population and economic growth, especially (as already noted) the decrease in carbon intensity of Seattle City Light’s electricity, more efficient cars and trucks, and building efficiency (including smaller dwellings) and fuel switching.  Increased efficiency of air travel also contributed to a decrease in GHG emissions.",72000,5222000,S1 derived from TOT - S2 in CDP2016 dataset,C,4488519.76518656,4821733.44661376,4655126.60590016,4560519.76518656,4893733.44661376,4727126.60590016,1,,"(47.6062095, -122.3320708)",47.61,-122.333056,https://en.wikipedia.org/wiki/Seattle,USA,North America,662400,2015,,,,405147.2068879,,575732,2005,704352,2016,https://www.census.gov/quickfacts/fact/table/seattlecitywashington/PST045216,795000,2206000,3298000,1.02399552498345,1.02031026780621,1,3692,,369.2,,217.4037606,2010,https://www.census.gov/quickfacts/fact/table/seattlecitywashington/PST045216,2858,,1559.40411700975,,29963.2917266154,15,11,KBFI,42,1917,1690,7,300827000000,USD     US Dollar,2014,US Dept Commerce for Seattle-Tacoma-Bellevue region,,,,,,,267.473,73012,[1],2014,211,61177.1527979125,"[3], [19]",,62472.0856588137,,62472.0856588137,154.196017143218,13.5,0.78,0.56,,2.49,2010,http://factfinder2.census.gov/faces/tableservices/jsf/pages/productview.xhtml?pid=DEC_10_DP_DPDP1&prodType=table,,80.731,1,,27.6,2013,"TORONTO AS A GLOBAL CITY:Scorecard on Prosperity – 2015, pg. 25, report by Toronto Board of Trade (downloaded fie: Toronto_scorecard_2015.pdf)",0.97,0.86,2.12,2011-2015,https://www.census.gov/quickfacts/fact/table/seattlecitywashington/PST045216,,23,55,9.6,12.6%,53,0.34,0.03,54%,77%,,,,,,,,,,,,,,City of Seattle Urban Area,785.4375,792.625,784.0625,1599.4375,1721.5,1798.4375,0.329341160438178,0.315268731666087,0.303606001936108,0.670658839561822,0.684731268333913,0.696393998063892,449.34087352408,849.743879024752,247.839817942826,1431.71096497202,239.173524163458,1648.19361516203,42870000000,766200000000,0.06,0.0176989817,0.0367294791,0.0356646952,,,0,0,,,,1,,0,1,1,1,1
265,Seberang,,SEBERANG PERAI MUNICIPAL COUNCIL,,,,,,Municipality,,,,8131.48208,carbonn,tCO2-eq,2016,Community - GPC,,,,,,,,,,,,,,,,,,5.377294,100.400146,carbonn,Malaysia,Southeast Asia,,,1016000,2016,,,,,,818197,2010,Wikipedia,,,,,,,,,,,751,2010,Wikipedia,,,,,,,,,,,0,721,,,,,,12286098341.4965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.65,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,Seberang Urban Area,296.8125,291.6875,295.5,408,504.625,546.0625,0.421122638999734,0.366297778824268,0.351132565911623,0.578877361000266,0.633702221175732,0.648867434088377,1542.17625441918,13730.1354258363,269.89426812951,2343.36654934376,321.629769815624,2917.74614385583,,,,,,,,,,,,,,,1,,,0,,
266,Semarang,,City of Semarang,,,,,,Municipality,,,,1770297.41,carbonn,tCO2-eq,2010,Community,,,,,,,,,,,,,,,,,,-6.96667,109.417,carbonn,Indonesia,Southeast Asia,,,1500000,2010,,,,,,1555984,2010,Wikipedia,,,,,,,,,,,373.78,2010,Wikipedia,,,,,,,,,,,0,1339,,,,,,6417277136.04357,,,,,,,,,9,5784061.6966581,"[3], [19]",,,,,,,,,,,,,,,,,,,,0.8,0.93,,,,,143,32,6.9,15.2%,,,,,,,,,,,,,,,,,,,Semarang Urban Area,899.9375,1105.1875,1251.0625,562,734,1139.0625,0.615578641357787,0.60091072824277,0.523429736938445,0.384421358642213,0.39908927175723,0.476570263061555,1487.60039406157,11123.7216060039,1266.65209629755,7779.86823116791,862.576155796912,5657.64482895421,,,,,,,,,,,,,,,1,,,1,,
267,Sendai,,Sendai City,,,,,,Municipality,,,,6573042,carbonn,tCO2-eq,2011,Community,,,,,,,,,,,,,,,,,,38.2681,140.87,carbonn,Japan,East Asia,,,1073242,2014,,,,,,1025126,2017,Wikipedia,,,,,,,,,,,786.3,2017,Wikipedia,,,,,,105.5,,,,,1937,61,,,,,,56716427749.0233,,,,,75.317,33765.3546131086,[1],2014,52.09355,,[24],2012,,,,,,,,,,,,,,,,28.5,,,1.1,1.38,2.18,,,,,,,,,,,,,,,,,,,,,,,,,,Sendai Urban Area,159.375,178.5,185.8125,258.1875,291.25,311.9375,0.381679389312977,0.379989356040447,0.373304871923656,0.618320610687023,0.620010643959553,0.626695128076344,6911.87799581813,11446.8112271371,433.889935569457,4582.44648420473,394.76430370818,4219.0596538491,,,,,,,,,,,,,,,1,,,0,,
